,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function
39,9532219,294.21674,46.180222,16.118,0.230848236,0.000195147,0.003939276,0.000300658,8.978919380612236e-05,108.01388587501204,0.999961223,f(t) = 0.992500 + 0.037300 * sin(2?? * 10.093100 * t + -2.814600) + 0.008000 * sin(2?? * 20.186200 * t + 2.205385)
40,9594189,294.26056,46.280201,15.759,0.553069805,-0.072944291,-0.319021857,-0.116216183,-0.029672399,118.64367041386015,0.999922162,f(t) = 1.000100 + 0.004500 * sin(2?? * 2.187100 * t + 2.069300) + 0.001000 * sin(2?? * 4.373500 * t + 0.646000)
41,9897710,294.57605,46.734871,15.276,0.716439378,0.00605466,0.028473855,0.065383797,-0.053188118,1944.490561244338,0.99998525,f(t) = 0.999600 + 0.000700 * sin(2?? * 4.702800 * t + -3.074300)
42,9717148,294.62122,46.435741,16.412,0.53049719,0.18597234977721464,0.3774122866378793,0.2479692138394862,0.12412523659432052,66.56588245311481,0.999944788,f(t) = 0.999700 + 0.006700 * sin(2?? * 1.010100 * t + -1.742100) + 0.001300 * sin(2?? * 2.029400 * t + 1.472800)
43,2581626,292.70682,37.806011,14.998,0.073070843,-0.020800367,-0.488777424,-0.019176316,-0.022421056,15.600698899180006,0.999563822,f(t) = 1.004100 + 0.071900 * sin(2?? * 18.139700 * t + -2.440400) + 0.015700 * sin(2?? * 23.498500 * t + -0.000015) + 0.007800 * sin(2?? * 5.358700 * t + -1.669385)
44,2972514,286.68576,38.17025,14.031,0.183456193,-0.003158128,-0.025090064,-0.003068301,-0.003247767,5.682832901463141,0.998867156,f(t) = 0.950700 + 0.203100 * sin(2?? * 3.972300 * t + -1.057300) + 0.050800 * sin(2?? * 7.944600 * t + -0.000015) + 0.023300 * sin(2?? * 1.986300 * t + 0.848085)
45,3119295,292.05969,38.266869,14.268,0.140756382,0.006743139,0.061343684,0.006433437,0.0070522,9.176620355277446,0.999199942,f(t) = 0.969200 + 0.154500 * sin(2?? * 4.548600 * t + -0.679300) + 0.030100 * sin(2?? * 9.097200 * t + -0.000015) + 0.022600 * sin(2?? * 2.274400 * t + -1.700100)
46,3953144,291.1925,39.049492,14.673,0.280977593,-0.006406772,-0.117481619,-0.00731609,-0.005499337,28.352588057715238,0.999985121,f(t) = 1.000100 + 0.007600 * sin(2?? * 9.847200 * t + -1.648985) + 0.003300 * sin(2?? * 15.111300 * t + -3.094485) + 0.001700 * sin(2?? * 18.337100 * t + -0.000015) + 0.001400 * sin(2?? * 9.057900 * t + -0.000015) + 0.001400 * sin(2?? * 15.511700 * t + -0.000015)
47,4036687,284.95593,39.14463,15.22,0.196140082,0.010038823,0.066976015,0.005819163,0.014249746601979111,84.01635696564243,0.998185032,f(t) = 0.987000 + 0.125400 * sin(2?? * 6.671700 * t + 0.000015)
48,4066203,293.87561,39.113762,14.052,0.138724337,0.001096522,0.006048964,0.000984471,0.001208308,20.415846671268977,0.999986488,f(t) = 1.000100 + 0.025800 * sin(2?? * 5.516500 * t + 1.589785) + 0.003500 * sin(2?? * 2.758600 * t + -2.696485)
49,4243668,285.52716,39.34726,14.656,0.30498448,0.000111265,0.00058097,0.001169143,-0.000944423,1881.061014494221,0.99999253,f(t) = 0.999800 + 0.007300 * sin(2?? * 5.221500 * t + 2.492985) + 0.003000 * sin(2?? * 2.608200 * t + -0.000015)
