KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function
7048016,295.77335,42.593712,14.024,0.426884547,-0.001287869,-0.026685418,0.00069412,-0.003267075,307.9102483477852,0.999996328,f(t) = 1.000000 + 0.002000 * sin(2?? * 15.920700 * t + 0.000015) + 0.001000 * sin(2?? * 19.902900 * t + 1.835200) + 0.000900 * sin(2?? * 18.116900 * t + -2.953585) + 0.000500 * sin(2?? * 20.352600 * t + -3.069585) + 0.000500 * sin(2?? * 20.720600 * t + 0.018900) + 0.000300 * sin(2?? * 17.604400 * t + -0.000015) + 0.000300 * sin(2?? * 10.319100 * t + 0.728985) + 0.000300 * sin(2?? * 10.749500 * t + -2.495800)
9364179,299.10205,45.80669,14.142,0.427009481,0.000831942,0.025573231526400002,-0.000572672,0.002236556,337.6711855026517,0.999990776,f(t) = 1.000000 + 0.003500 * sin(2?? * 30.739200 * t + 0.000015) + 0.001300 * sin(2?? * 29.234700 * t + -2.464485) + 0.001200 * sin(2?? * 30.027300 * t + -0.000015)
5027750,295.99509,40.112518,14.775,0.446827328,-0.005478289,-0.064150216,-0.006291099,-0.0046674,29.633615546227333,0.999994381,f(t) = 1.000000 + 0.002900 * sin(2?? * 11.709900 * t + -0.000015)
8264404,300.94638,44.157139,12.193,0.447616056,0.005154127,0.064967255,0.004315137,0.005993118,32.55605663226774,0.999985867,f(t) = 0.999600 + 0.004600 * sin(2?? * 9.396300 * t + 2.144985) + 0.001800 * sin(2?? * 10.741700 * t + -1.912600) + 0.000900 * sin(2?? * 3.175100 * t + -2.505185) + 0.000800 * sin(2?? * 1.340300 * t + -0.284500) + 0.000700 * sin(2?? * 12.604900 * t + 0.362785) + 0.000700 * sin(2?? * 1.868800 * t + 2.705385) + 0.000500 * sin(2?? * 7.946100 * t + -2.687985)
9214444,290.26773,45.692348,14.2,0.464514854,-0.00420028,-0.097999673,-0.002158354,-0.006234005,97.12765303878238,0.999999048,f(t) = 1.000100 + 0.000600 * sin(2?? * 21.642600 * t + -0.000015) + 0.000500 * sin(2?? * 20.237000 * t + 2.813900) + 0.000300 * sin(2?? * 17.605100 * t + -0.000015) + 0.000300 * sin(2?? * 23.331700 * t + -0.000015) + 0.000300 * sin(2?? * 20.755200 * t + 2.216185) + 0.000200 * sin(2?? * 17.961400 * t + -0.000015) + 0.000200 * sin(2?? * 21.258100 * t + -0.000015)
9700322,286.96127,46.486633,12.685,0.471992026,0.012338463421650377,0.2759324605764187,0.004140187,0.020536740165830757,132.88975237864406,0.999271451,f(t) = 1.002400 + 0.011400 * sin(2?? * 12.569700 * t + -1.534100) + 0.010600 * sin(2?? * 9.794800 * t + 2.597185) + 0.001900 * sin(2?? * 22.363600 * t + 1.618300)
5788165,290.88074,41.06081,14.354,0.506787602,-0.018833581,-0.336637077,-0.022789839,-0.014877322,42.012816492405776,0.999998945,f(t) = 1.000000 + 0.000900 * sin(2?? * 17.874300 * t + -0.000015)
8245366,295.89133,44.105434,11.185,0.512982755,0.001925383,0.022988495,-0.002771009,0.006610698,488.6700699651489,0.9994012,f(t) = 1.001700 + 0.011500 * sin(2?? * 11.939700 * t + 1.858185) + 0.006500 * sin(2?? * 10.289000 * t + -0.000015) + 0.002300 * sin(2?? * 7.955400 * t + -0.623700) + 0.001900 * sin(2?? * 8.306900 * t + 0.302985) + 0.001800 * sin(2?? * 9.047800 * t + -0.000015) + 0.001200 * sin(2?? * 7.103200 * t + 0.675300)
5108514,294.36151,40.262749,13.983,0.514464948,-0.005098982,-0.071413792,-0.001025283,-0.009162981,159.7464953,0.999971897,f(t) = 0.999900 + 0.001700 * sin(2?? * 7.002700 * t + -2.448085) + 0.001100 * sin(2?? * 5.813700 * t + 1.667200) + 0.000700 * sin(2?? * 10.152300 * t + -1.209900) + 0.000200 * sin(2?? * 4.798400 * t + -2.927400) + 0.000200 * sin(2?? * 7.510100 * t + 1.948700) + 0.000200 * sin(2?? * 9.117600 * t + -1.999685) + 0.000200 * sin(2?? * 13.491900 * t + 2.757400) + 0.000200 * sin(2?? * 14.005500 * t + 3.119000) + 0.000200 * sin(2?? * 4.105400 * t + 2.948585) + 0.000200 * sin(2?? * 12.619900 * t + -1.419800)
9306095,300.17462,45.799809,12.428,0.517353662,0.034547395,0.702801111,0.029393348808205003,0.039693939,29.819061752009222,0.99881925,f(t) = 1.004600 + 0.030200 * sin(2?? * 10.174300 * t + -2.611285) + 0.003700 * sin(2?? * 20.343100 * t + 1.637200)
12216817,295.79639,50.895988,10.662,0.518421054,-0.032293661,-0.262227757,-0.040242065,-0.024356826,49.18114972427553,0.999757561,f(t) = 1.000500 + 0.011700 * sin(2?? * 8.120100 * t + -0.137000) + 0.004500 * sin(2?? * 3.617500 * t + -2.426800) + 0.002800 * sin(2?? * 5.698300 * t + 2.820000) + 0.001800 * sin(2?? * 6.628800 * t + 1.676300)
9717148,294.62122,46.435741,16.412,0.53049719,0.18597234977721464,0.3774122866378793,0.2479692138394862,0.12412523659432052,66.56588245311481,0.999944788,f(t) = 0.999700 + 0.006700 * sin(2?? * 1.010100 * t + -1.742100) + 0.001300 * sin(2?? * 2.029400 * t + 1.472800)
7347529,286.4968,42.95118,14.126,0.531459134,-0.002540889,-0.029596529,0.001521422,-0.0066032,319.75511853516474,0.999899069,f(t) = 1.000400 + 0.006800 * sin(2?? * 11.648100 * t + 0.000015)
4577647,295.71765,39.691494,11.9,0.535218686,-0.001016515,-0.009383145,0.000849547,-0.002878134,367.5150573801073,0.999880489,f(t) = 1.000800 + 0.001500 * sin(2?? * 9.230700 * t + 0.824100) + 0.000900 * sin(2?? * 7.356900 * t + -0.000015) + 0.000400 * sin(2?? * 7.664700 * t + 0.526800)
9594857,294.49481,46.238731,11.021,0.538399222,0.027208661290184503,0.2709220821986251,0.018190529314269337,0.036226793,66.28868564855448,0.999716732,f(t) = 1.000100 + 0.011500 * sin(2?? * 9.957200 * t + -2.163000) + 0.003600 * sin(2?? * 6.056700 * t + 1.659600) + 0.002900 * sin(2?? * 7.447900 * t + 2.692500) + 0.002700 * sin(2?? * 6.869200 * t + -1.782385) + 0.001600 * sin(2?? * 4.322800 * t + 2.373285)
9368220,300.32764,45.868259,11.271,0.551725931,0.01228614,0.182015478,0.026307568081882275,-0.001735288,228.2478887408825,0.999949043,f(t) = 1.000300 + 0.003000 * sin(2?? * 5.398100 * t + 0.908500) + 0.001200 * sin(2?? * 7.067200 * t + 2.839200) + 0.001100 * sin(2?? * 6.511000 * t + 1.346300) + 0.001100 * sin(2?? * 13.537500 * t + 2.526300) + 0.001000 * sin(2?? * 14.814700 * t + -2.608285) + 0.000900 * sin(2?? * 8.963600 * t + 2.256385) + 0.000500 * sin(2?? * 4.368300 * t + -0.299300) + 0.000500 * sin(2?? * 4.739700 * t + 2.308185) + 0.000500 * sin(2?? * 9.334700 * t + 1.817885) + 0.000300 * sin(2?? * 5.831000 * t + -3.002585)
9706609,290.2919,46.447239,14.144,0.553036875,-0.000899684,-0.0072044,-0.002052868,0.000253501,256.3532661,0.999999434,f(t) = 0.999900 + 0.000500 * sin(2?? * 7.376000 * t + 1.360500) + 0.000300 * sin(2?? * 7.053300 * t + -0.000015) + 0.000200 * sin(2?? * 5.857200 * t + 1.719200) + 0.000200 * sin(2?? * 8.007700 * t + 0.459600)
9594189,294.26056,46.280201,15.759,0.553069805,-0.072944291,-0.319021857,-0.116216183,-0.029672399,118.64367041386015,0.999922162,f(t) = 1.000100 + 0.004500 * sin(2?? * 2.187100 * t + 2.069300) + 0.001000 * sin(2?? * 4.373500 * t + 0.646000)
6963490,295.8869,42.454819,14.702,0.559006483,0.039283211,0.44690937826259997,0.030234417,0.048332005,46.06952248957475,0.999568876,f(t) = 1.001200 + 0.006700 * sin(2?? * 7.140900 * t + -3.008000) + 0.002600 * sin(2?? * 7.570800 * t + -2.034400) + 0.001800 * sin(2?? * 11.376600 * t + 0.188600) + 0.000800 * sin(2?? * 6.710400 * t + -2.178600)
8493159,291.02487,44.546383,12.002,0.56569277,-0.004198826,-0.062378179,0.002799045,-0.011186511,333.48702944354545,0.999725151,f(t) = 1.000900 + 0.000600 * sin(2?? * 7.314600 * t + -2.960485) + 0.000200 * sin(2?? * 8.221500 * t + 0.995800) + 0.000200 * sin(2?? * 13.331700 * t + -1.184300) + 0.000100 * sin(2?? * 5.583700 * t + 1.422100) + 0.000100 * sin(2?? * 11.600800 * t + -2.253700) + 0.000100 * sin(2?? * 14.856100 * t + -1.654100)
